"Fund Name","Prices","Yields"
"","12-Month Dist. Rate1 NAV","30-Day SEC Yield"
"Price","Change ($)","Change (%)","12-Month Dist. Rate1 NAV","","Net","Gross"
"As of 8/22/2025 (updated daily)","As of 07/31/2025 (updated monthly)"
"Growth","",""
"CGGE Capital Group Global Equity ETF CGGE Capital Group Global Equity ETF","",""
"NAV","$30.01","$0.35","1.19%","0.31%","1.13%","1.13%"
"Market Price","$30.09","$0.38","1.28%","N/A","N/A","N/A"
"CGGO Capital Group Global Growth Equity ETF CGGO Capital Group Global Growth Equity ETF","",""
"NAV","$32.89","$0.43","1.33%","1.33%","0.73%","0.73%"
"Market Price","$32.91","$0.40","1.23%","N/A","N/A","N/A"
"CGGR Capital Group Growth ETF CGGR Capital Group Growth ETF","",""
"NAV","$42.25","$0.88","2.12%","0.16%","0.14%","0.14%"
"Market Price","$42.25","$0.86","2.08%","N/A","N/A","N/A"
"CGIE Capital Group International Equity ETF CGIE Capital Group International Equity ETF","",""
"NAV","$33.41","$0.40","1.21%","1.10%","1.55%","1.55%"
"Market Price","$33.53","$0.46","1.39%","N/A","N/A","N/A"
"CGXU Capital Group International Focus Equity ETF CGXU Capital Group International Focus Equity ETF","",""
"NAV","$28.14","$0.38","1.36%","1.45%","1.36%","1.36%"
"Market Price","$28.32","$0.52","1.87%","N/A","N/A","N/A"
"CGNG Capital Group New Geography Equity ETF CGNG Capital Group New Geography Equity ETF","",""
"NAV","$29.46","$0.34","1.16%","0.23%","1.05%","1.05%"
"Market Price","$29.63","$0.45","1.54%","N/A","N/A","N/A"
"CGGG Capital Group U.S. Large Growth ETF CGGG Capital Group U.S. Large Growth ETF","",""
"NAV","$27.67","$0.57","2.11%","—","0.19%","0.19%"
"Market Price","$27.65","$0.55","2.04%","N/A","N/A","N/A"
"CGVV Capital Group U.S. Large Value ETF CGVV Capital Group U.S. Large Value ETF","",""
"NAV","$26.13","$0.50","1.97%","—","1.20%","1.20%"
"Market Price","$26.12","$0.50","1.95%","N/A","N/A","N/A"
"CGMM Capital Group U.S. Small and Mid Cap ETF CGMM Capital Group U.S. Small and Mid Cap ETF","",""
"NAV","$28.24","$0.72","2.60%","—","0.63%","0.63%"
"Market Price","$28.24","$0.71","2.58%","N/A","N/A","N/A"
"Growth and income","",""
"CGCV Capital Group Conservative Equity ETF CGCV Capital Group Conservative Equity ETF","",""
"NAV","$29.48","$0.27","0.93%","1.34%","1.83%","1.83%"
"Market Price","$29.51","$0.30","1.03%","N/A","N/A","N/A"
"CGUS Capital Group Core Equity ETF CGUS Capital Group Core Equity ETF","",""
"NAV","$38.57","$0.62","1.63%","1.00%","0.97%","0.97%"
"Market Price","$38.59","$0.62","1.63%","N/A","N/A","N/A"
"CGDG Capital Group Dividend Growers ETF CGDG Capital Group Dividend Growers ETF","",""
"NAV","$34.30","$0.34","1.01%","1.97%","2.21%","2.21%"
"Market Price","$34.37","$0.38","1.12%","N/A","N/A","N/A"
"CGDV Capital Group Dividend Value ETF CGDV Capital Group Dividend Value ETF","",""
"NAV","$41.44","$0.56","1.36%","1.41%","1.44%","1.44%"
"Market Price","$41.47","$0.55","1.34%","N/A","N/A","N/A"
"CGIC Capital Group International Core Equity ETF CGIC Capital Group International Core Equity ETF","",""
"NAV","$30.29","$0.35","1.17%","1.54%","2.09%","2.09%"
"Market Price","$30.44","$0.43","1.43%","N/A","N/A","N/A"
"Balanced","",""
"CGBL Capital Group Core Balanced ETF CGBL Capital Group Core Balanced ETF","",""
"NAV","$34.05","$0.39","1.16%","1.91%","2.16%","2.16%"
"Market Price","$34.07","$0.39","1.16%","N/A","N/A","N/A"
"Bond","",""
"CGCB Capital Group Core Bond ETF CGCB Capital Group Core Bond ETF","",""
"NAV","$26.40","$0.13","0.51%","4.22%","4.66%","4.66%"
"Market Price","$26.42","$0.12","0.46%","N/A","N/A","N/A"
"CGCP Capital Group Core Plus Income ETF CGCP Capital Group Core Plus Income ETF","",""
"NAV","$22.63","$0.12","0.53%","5.10%","5.48%","5.48%"
"Market Price","$22.65","$0.14","0.62%","N/A","N/A","N/A"
"CGHY Capital Group High Yield Bond ETF CGHY Capital Group High Yield Bond ETF","",""
"NAV","$25.34","$0.11","0.44%","—","5.75%","5.75%"
"Market Price","$25.44","$0.21","0.83%","N/A","N/A","N/A"
"CGIB Capital Group International Bond ETF (USD-Hedged) CGIB Capital Group International Bond ETF (USD-Hedged)","",""
"NAV","$25.14","$0.03","0.11%","4.44%","3.42%","3.42%"
"Market Price","$25.22","$0.09","0.36%","N/A","N/A","N/A"
"CGSD Capital Group Short Duration Income ETF CGSD Capital Group Short Duration Income ETF","",""
"NAV","$26.03","$0.06","0.23%","4.57%","4.85%","4.85%"
"Market Price","$26.05","$0.08","0.31%","N/A","N/A","N/A"
"CGMS Capital Group U.S. Multi-Sector Income ETF CGMS Capital Group U.S. Multi-Sector Income ETF","",""
"NAV","$27.75","$0.13","0.48%","5.85%","6.21%","6.21%"
"Market Price","$27.79","$0.18","0.65%","N/A","N/A","N/A"
"CGUI Capital Group Ultra Short Income ETF CGUI Capital Group Ultra Short Income ETF","",""
"NAV","$25.31","$0.02","0.07%","4.58%","4.42%","4.42%"
"Market Price","$25.34","$0.02","0.06%","N/A","N/A","N/A"
"Tax-exempt","",""
"CGHM Capital Group Municipal High-Income ETF CGHM Capital Group Municipal High-Income ETF","",""
"NAV","$24.54","$0.08","0.31%","3.84%","4.39%","4.39%"
"Market Price","$24.59","$0.07","0.29%","N/A","N/A","N/A"
"CGMU Capital Group Municipal Income ETF CGMU Capital Group Municipal Income ETF","",""
"NAV","$26.79","$0.05","0.19%","3.42%","3.62%","3.62%"
"Market Price","$26.82","$0.03","0.11%","N/A","N/A","N/A"
"CGSM Capital Group Short Duration Municipal Income ETF CGSM Capital Group Short Duration Municipal Income ETF","",""
"NAV","$26.25","$0.02","0.08%","3.15%","3.05%","3.05%"
"Market Price","$26.31","$0.05","0.17%","N/A","N/A","N/A"
